TicketID,request,category,priority,priority_code,response,date,urgency,response_time_hours,started_at,closed_at,Status,review_status,review_notes,routed_to,routed_at,risk_flags,transparency_note,approval_required,approval_status,ml_confidence,classification_method
T001,Our server is down and no one can access the network,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-20,Immediate,43.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T002,I have not received my last month’s payslip and salary is missing.,HR,Low,1.2,Your request has been received and will be handled by HR shortly.,2026-03-20,Not Immediate,32.5,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T003,The invoice for last month hasn’t been paid.,Finance,Low,1.2,Your request has been logged. The Finance team will process it when available.,2026-03-20,Not Immediate,62.7,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T004,The shipment is delayed and stock in the warehouse is low,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-20,Not Immediate,69.3,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T005,Can someone look at this random question about the office,Unclassified,Low,1.2,Your request has been received.,2026-03-20,Not Immediate,66.8,,,Closed,Irrelevant,Marked as irrelevant during review,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T006,My laptop crashed and payroll for HR hasn’t been processed.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-20,Not Immediate,22.8,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T007,System has been hacked.,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-20,Immediate,2.4,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T008,I have to attend a wedding.,Unclassified,Low,1.2,Your request has been received.,2026-03-20,Not Immediate,17.6,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T009,My laptop is broken.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-22,Not Immediate,36.6,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T010,laptop not working,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-22,Not Immediate,67.9,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T011,My laptop is broken and won’t start.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-22,Not Immediate,47.5,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T012,The server is down and no one can access the network.,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-22,Immediate,34.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T013,I think my computer has a virus.,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-22,Immediate,1.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T014,The printer is not working and print jobs are failing.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-22,Not Immediate,42.9,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T015,I have not received my last month’s salary.,HR,Low,1.2,Your request has been received and will be handled by HR shortly.,2026-03-22,Not Immediate,16.8,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T016,I experienced harassment in the workplace.,HR,High,3.1,This HR issue is being prioritised and will be addressed as soon as possible.,2026-03-22,Immediate,55.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T017,Can I request leave for next week?,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-22,Not Immediate,36.0,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T018,I want to check my benefits and policy details.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-22,Not Immediate,71.5,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T019,The invoice for last month hasn’t been paid.,Finance,Medium,2.2,Your request has been scheduled and will be handled by the Finance team soon.,2026-03-22,Not Immediate,19.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T020,There is a duplicate payment in my account.,Finance,High,3.1,This is a critical financial issue. The Finance team is taking immediate action.,2026-03-22,Immediate,10.2,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T021,I have a question about my reimbursement.,Finance,Medium,2.2,Your request has been scheduled and will be handled by the Finance team soon.,2026-03-22,Not Immediate,46.7,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T022,The budget report needs clarification.,Finance,Medium,2.2,Your request has been scheduled and will be handled by the Finance team soon.,2026-03-22,Not Immediate,69.7,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T023,The shipment is delayed and stock in the warehouse is low.,Operations,High,3.1,This is a critical operations issue. Immediate action is being taken.,2026-03-22,Immediate,4.5,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T024,Our production line has stopped due to equipment failure.,Operations,High,3.1,This is a critical operations issue. Immediate action is being taken.,2026-03-22,Immediate,41.7,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T025,We need to update the schedule for next week.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-22,Not Immediate,16.1,,,Closed,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T026,Tracking information for the delivery is missing.,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-22,Not Immediate,23.6,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T027,I have a question about office decorations.,Unclassified,Low,1.2,Your request has been received.,2026-03-22,Not Immediate,21.2,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T028,Someone suggested a new workflow for the project.,Operations,Low,1.2,Your request has been received and the Operations team will assist shortly.,2026-03-22,Not Immediate,67.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T029,My keyboard isn’t responding properly.,IT,Low,1.2,Your request has been received.,2026-03-22,Not Immediate,69.0,,,Open,Routed,Routed to IT by reviewer,IT,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T030,The monitor occasionally flickers when I start the computer.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-22,Not Immediate,16.4,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T031,I need help installing a new software application.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-22,Not Immediate,29.9,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T032,Can I get information on the company’s attendance policy?,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-22,Not Immediate,43.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T033,I want to clarify the procedure for submitting leave requests.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-22,Not Immediate,39.5,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T034,I need guidance on the performance appraisal process.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-22,Not Immediate,29.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T035,My laptop is down and I also haven’t received last month’s salary.,IT,High,3.1,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-22,Immediate,45.8,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T036,My laptop is down and I also haven’t received last month’s salary.,IT,High,3.1,All relevant departments will review your request and get back to you as soon as possible.,2026-03-22,Immediate,58.8,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T036,My laptop is down and I also haven’t received last month’s salary.,HR,High,3.1,All relevant departments will review your request and get back to you as soon as possible.,2026-03-22,Immediate,19.9,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T037,I need a laptop.,IT,Low,1.2,Your request has been received and will be addressed by the IT team as soon as possible as it is affecting your work today.,2026-03-23,Not Immediate,35.9,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T038,I need to take a leave,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-23,Not Immediate,22.6,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T039,My payslip has not beene emailed yet.,HR,High,3.1,This HR issue is being prioritised and will be addressed as soon as possible.,2026-03-23,Immediate,64.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T040,I need to report discrimination now.,HR,High,3.1,All relevant departments will review your request and get back to you as soon as possible.,2026-03-23,Immediate,60.5,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T040,I need to report discrimination now.,Finance,High,3.1,All relevant departments will review your request and get back to you as soon as possible.,2026-03-23,Immediate,63.3,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T041,salary is missing,HR,High,3.1,This HR issue is being prioritised and will be addressed as soon as possible.,2026-03-23,Immediate,44.8,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T042,I cannot login to the system and keep getting an error,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-23,Not Immediate,39.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T043,I have a leave request and need clarification on company policy,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-23,Not Immediate,37.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T044,I need help with a reimbursement and expense issue,Finance,Medium,2.2,Your request has been scheduled and will be handled by the Finance team soon.,2026-03-23,Not Immediate,23.9,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T045,There is a delay in delivery and a logistics issue with tracking,Operations,High,3.1,This is a critical operations issue. Immediate action is being taken.,2026-03-23,Immediate,12.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T046,I would like general feedback on my performance review,HR,Low,1.2,Your request has been received and will be handled by HR shortly.,2026-03-23,Not Immediate,66.1,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T047,I have a general question about my account statement,Finance,Low,1.2,Your request has been logged. The Finance team will process it when available.,2026-03-23,Not Immediate,2.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T048,Can I get an update on the warehouse schedule for next week,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-23,Not Immediate,63.2,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T049,My laptop is not working.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it as soon as possible.,2026-03-23,Not Immediate,13.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T050,The system is down for all users.,IT,High,3.2,This is a critical issue. The IT team is actively working to resolve it immediately.,2026-03-23,Not Immediate,62.8,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T051,My TV is not working.,Unclassified,Low,1.2,Your request has been received.,2026-03-24,Not Immediate,34.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T052,My laptop is broken.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,51.6,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T053,quit,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,14.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T054,quit,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,35.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T055,I want to take leave urgently.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,57.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T056,I have experienced discrimination in the workplace.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,60.6,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T057,I have experienced discrimination in the workplace.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,9.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T058,I need to take leave.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,51.8,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T059,I need to take leave.,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,43.2,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T060,I need to take leave,IT,Medium,2.2,Your request has been logged and will be resolved soon.,2026-03-24,Not Immediate,10.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T061,I need to take leave.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-24,Not Immediate,6.2,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T062,"My mouse is not working,",Unclassified,Low,1.2,Your request has been received.,2026-03-24,Not Immediate,59.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T063,My screen is broken.,IT,Low,1.2,Your request has been received.,2026-03-24,Not Immediate,13.9,,,Open,Routed,Routed to IT by reviewer,IT,2026-04-15 15:44:14,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T064,I would like to take leave immediately.,HR,Medium,2.1,This is a high-priority HR matter. Immediate attention is being given.,2026-03-24,Immediate,13.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T065,My mouse is broken.,IT,Low,1.2,Your request has been received. It will be reviewed and assigned to the appropriate department.,2026-03-24,Not Immediate,39.5,,,Open,Routed,New mouse needed.,IT,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T066,My WiFi connection is slow.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it in due course.,2026-03-24,Not Immediate,65.7,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T067,The system has been hacked.,IT,High,3.2,This is a high-priority IT issue. The IT team is prioritising it and will resolve it as soon as possible.,2026-03-24,Not Immediate,34.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T068,I need the invoice for the order.,Finance,Medium,2.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-24,Not Immediate,48.1,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T068,I need the invoice for the order.,Operations,Medium,2.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-24,Not Immediate,49.0,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T069,I need a new TV set.,Unclassified,Low,1.2,Your request has been received. It will be reviewed and assigned to the appropriate department.,2026-03-24,Not Immediate,49.7,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T070,My order has been delayed.,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-24,Not Immediate,39.1,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T071,The warehouse is stocked up.,Operations,Low,1.2,Your request has been logged and will be handled in the normal workflow.,2026-03-24,Not Immediate,9.5,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T072,I need my payslip.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-24,Not Immediate,30.2,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T073,My order has been delayed.,Operations,Medium,2.2,Your request has been scheduled and will be handled by Operations soon.,2026-03-25,Not Immediate,3.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T074,Our entire network is down and no one can access the system.,IT,High,3.2,This is a high-priority IT issue. The IT team is prioritising it and will resolve it as soon as possible.,2026-03-26,Not Immediate,16.6,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T075,There is suspected fraud in the financial transactions.,Finance,High,3.2,This is a high-priority financial matter and is being prioritised for resolution.,2026-03-26,Not Immediate,67.0,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T076,An employee reported harassment in the workplace.,HR,High,3.2,This is a high-priority HR issue and will be handled with urgency.,2026-03-26,Not Immediate,28.9,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T077,The system is very slow and users cannot log in.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it in due course.,2026-03-26,Not Immediate,54.8,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T078,The shipment is delayed and inventory is running low. We need more now.,Operations,Medium,2.1,Your request has been prioritised and will be handled by the Operations team today.,2026-03-26,Immediate,9.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T079,I need help understanding my payslip and overtime.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-26,Not Immediate,37.6,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T080,Can you provide the latest financial report,Finance,Low,1.2,Your request has been logged and will be processed when resources are available.,2026-03-26,Not Immediate,58.2,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T081,I would like to request leave for next week.,HR,Medium,2.2,Your request has been received and will be processed by HR in due course.,2026-03-26,Not Immediate,55.8,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T082,My laptop crashed and payroll has not been processed.,IT,High,3.2,This is a high-priority IT issue. The IT team is prioritising it and will resolve it as soon as possible.,2026-03-26,Not Immediate,30.0,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T083,What time does the office close today?,HR,Low,1.1,Your request has been received. It will be reviewed and assigned to the appropriate department.,2026-03-26,Immediate,61.7,,,Open,Routed,Query about office times.,HR,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T084,My pay is not yet in and the system is slow.,IT,Medium,2.2,Your request has been logged and scheduled. The IT team will resolve it in due course.,2026-03-26,Not Immediate,25.3,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T085,"Invoice, payment",Finance,Medium,2.2,Your request has been scheduled and will be processed by the Finance team soon.,2026-03-26,Not Immediate,36.5,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T086,My laptop crashed and payroll has not been processed,IT,High,3.2,This is a high-priority IT issue. The IT team is prioritising it and will resolve it as soon as possible.,2026-03-26,Not Immediate,39.9,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T087,My laptop crashed and I need leave tomorrow,IT,High,3.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-26,Not Immediate,13.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T087,My laptop crashed and I need leave tomorrow,HR,High,3.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-26,Not Immediate,18.4,,,Open,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T088,The system crashed and payment failed,IT,High,3.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-26,Not Immediate,67.5,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T088,The system crashed and payment failed,Finance,High,3.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-26,Not Immediate,11.9,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
T089,My salary payment is missing,HR,High,3.2,All relevant departments will review your request and get back to you as soon as possible.,2026-03-26,Not Immediate,28.4,,,In Progress,,,,,,"This ticket was classified and responded to using AI-assisted rules. Human review may be required for sensitive, finance, or unclassified cases.",No,Not Required,,Existing record
